SNR,IqYX,IqYXs_1,IqYXs_2,IqYXs_3,IqYXs_4,EXIT,EXITs_1,EXITs_2,EXITs_3,EXITs_4,SER,SERs_1,SERs_2,SERs_3,SERs_4
-5.00183,0.0620199,0.0557508,0.0595871,0.069402,0.0633396,0.0642418,0.0585732,0.0646962,0.0639521,0.0697459,0.93222,0.930542,0.929199,0.938477,0.930664
-4.00183,0.0948695,0.0860419,0.0908365,0.104392,0.0982078,0.0996333,0.0855358,0.0940332,0.112367,0.106597,0.92745,0.924561,0.929525,0.934326,0.921387
-3.00183,0.142913,0.129313,0.136563,0.155311,0.150465,0.147778,0.137536,0.13325,0.159969,0.160357,0.923492,0.919556,0.928711,0.926758,0.918945
-2.00183,0.209415,0.187461,0.199002,0.2257,0.225495,0.215356,0.193523,0.210971,0.219876,0.237056,0.915883,0.916382,0.920247,0.91626,0.910645
-1.00183,0.298329,0.263728,0.281472,0.319244,0.328872,0.31888,0.287558,0.308827,0.32496,0.354174,0.910756,0.915649,0.912923,0.911621,0.902832
-0.00182897,0.410728,0.356864,0.384289,0.436511,0.465249,0.449921,0.407723,0.423067,0.469282,0.499611,0.896637,0.902466,0.907715,0.898926,0.877441
0.998171,0.546007,0.465224,0.505794,0.577713,0.635296,0.592504,0.526535,0.562587,0.627227,0.653664,0.883077,0.893311,0.889486,0.888672,0.86084
1.99817,0.708035,0.613571,0.644044,0.738543,0.835982,0.792267,0.729371,0.749129,0.828609,0.861958,0.859507,0.872437,0.867839,0.866211,0.831543
2.99817,0.892303,0.776181,0.819598,0.914233,1.0592,1.01951,0.927129,0.977924,1.0624,1.1106,0.836945,0.856812,0.84668,0.843018,0.80127
3.99817,1.10627,0.945374,1.07849,1.09931,1.30188,1.25263,1.14014,1.2262,1.29853,1.34566,0.806854,0.828491,0.812012,0.820801,0.766113
4.99817,1.34875,1.14763,1.31914,1.37315,1.55508,1.52156,1.40645,1.48348,1.56165,1.63466,0.76532,0.799805,0.770508,0.773193,0.717773
5.99817,1.61474,1.37334,1.54945,1.72504,1.81114,1.7844,1.65103,1.73659,1.84758,1.90241,0.710734,0.758301,0.72526,0.694824,0.664551
6.99817,1.87645,1.60199,1.82697,2.00647,2.07038,2.06339,1.91457,2.02024,2.11574,2.203,0.650258,0.713989,0.658529,0.625488,0.603027
7.99817,2.1566,1.82058,2.09568,2.29197,2.41819,2.35578,2.20646,2.31233,2.42177,2.48259,0.577728,0.672729,0.592773,0.536133,0.509277
8.99817,2.45533,2.12236,2.38227,2.58537,2.73132,2.64657,2.4875,2.59747,2.71887,2.78245,0.484029,0.583252,0.509603,0.441406,0.401855
9.99817,2.7452,2.37856,2.67994,2.88342,3.03888,2.95755,2.79726,2.9005,3.02485,3.10757,0.392934,0.513794,0.417318,0.344727,0.295898
10.9982,3.03684,2.62997,2.98806,3.17919,3.35013,3.24165,3.08963,3.1874,3.30639,3.38319,0.294729,0.433228,0.310872,0.242432,0.192383
11.9982,3.34258,2.9277,3.27969,3.50306,3.65987,3.57595,3.42155,3.54125,3.64213,3.6989,0.194631,0.328735,0.213704,0.139893,0.0961914
12.9982,3.63616,3.16248,3.65787,3.83245,3.89185,3.85698,3.79793,3.84552,3.88205,3.90243,0.105153,0.253052,0.0945638,0.0446777,0.0283203
13.9982,3.85244,3.47154,3.97426,3.98152,3.98245,3.97665,3.97203,3.97697,3.97548,3.98211,0.0416667,0.150391,0.00602214,0.00537109,0.00488281
14.9982,3.97677,3.9086,3.99941,3.99927,3.99981,3.99879,3.99875,3.99849,3.99886,3.99906,0.00724284,0.0280762,0.00016276,0.000244141,0.000488281
15.9982,4,4,4,4,4,4,3.99999,4,4,4,0,0,0,0,0
16.9982,3.98715,3.94859,4,4,4,4,4,4,4,4,0.00387573,0.0155029,0,0,0
17.9982,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0
18.9982,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0
19.9982,3.9375,4,4,3.75,4,4,4,4,4,4,0,0,0,0,0
